Index_,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,MCI,Division,Hood_ID,Neighbourhood,ObjectId,Lat,Long,Postal Code
145867,2018-09-07T13:30:00.000Z,2018-09-07T18:28:00.000Z,Apartment,2120,200,B&E,Break and Enter,D42,129,Agincourt North (129),134601,43.8050919,-79.2834015,
150831,2018-07-17T15:11:00.000Z,2018-07-17T15:11:00.000Z,Apartment,2120,200,B&E,Break and Enter,D42,129,Agincourt North (129),139560,43.8135643,-79.273941,
148157,2018-02-21T08:00:00.000Z,2018-02-21T17:31:00.000Z,Apartment,2120,200,B&E,Break and Enter,D42,129,Agincourt North (129),136168,43.8071899,-79.2703934,
153750,2018-02-01T09:00:00.000Z,2018-02-01T16:23:00.000Z,Apartment,2120,200,B&E,Break and Enter,D42,129,Agincourt North (129),141349,43.8047791,-79.2848816,
153611,2018-01-02T14:40:00.000Z,2018-01-02T23:53:00.000Z,Apartment,2120,200,B&E,Break and Enter,D42,129,Agincourt North (129),141829,43.8071899,-79.2703934,
179061,2018-10-23T21:00:00.000Z,2018-10-24T04:38:00.000Z,Apartment,2135,210,Theft Of Motor Vehicle,Auto Theft,D42,129,Agincourt North (129),166468,43.8002396,-79.2839355,
172669,2018-05-09T22:00:00.000Z,2018-05-10T07:25:00.000Z,Apartment,2135,210,Theft Of Motor Vehicle,Auto Theft,D42,129,Agincourt North (129),159886,43.8048782,-79.2591019,
80495,2018-02-28T01:00:00.000Z,2018-03-10T20:07:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),74967,43.8168526,-79.2630997,
84423,2018-05-04T18:25:00.000Z,2018-05-04T18:26:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),78104,43.8120766,-79.2881317,
89518,2018-08-16T08:40:00.000Z,2018-08-16T08:48:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),82012,43.8078499,-79.2625809,
89043,2018-10-18T13:20:00.000Z,2018-10-18T13:20:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),82339,43.806469,-79.2564163,
90662,2018-01-08T18:00:00.000Z,2018-01-09T15:27:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),83206,43.8027191,-79.2822571,
91301,2018-12-01T03:30:00.000Z,2018-12-01T03:41:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),84231,43.8110161,-79.2843399,
92553,2018-12-08T17:30:00.000Z,2018-12-08T19:40:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),85142,43.811718,-79.2808151,
92554,2018-12-08T17:30:00.000Z,2018-12-08T19:40:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),85143,43.811718,-79.2808151,
92421,2018-12-17T08:30:00.000Z,2018-12-17T08:49:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),85772,43.7981644,-79.2756042,
95651,2018-06-01T16:07:00.000Z,2018-06-01T16:07:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),88634,43.8106232,-79.2815933,
98731,2018-08-05T22:00:00.000Z,2018-08-05T22:32:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),91255,43.8046036,-79.2692947,
99493,2018-04-29T18:40:00.000Z,2018-04-29T18:40:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),91572,43.8007584,-79.2811813,
97955,2018-01-19T14:27:00.000Z,2018-01-19T14:27:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),90020,43.8110161,-79.2843399,
102032,2018-07-26T18:22:00.000Z,2018-07-26T18:22:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),94654,43.811718,-79.2808151,
116141,2018-12-31T13:25:00.000Z,2018-12-31T13:25:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),107668,43.8026085,-79.2621689,
137121,2018-03-29T13:49:00.000Z,2018-03-29T13:49:00.000Z,House,1430,100,Assault,Assault,D42,129,Agincourt North (129),126725,43.8062019,-79.2817383,
