,Index_,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,MCI,Division,Hood_ID,Neighbourhood,ObjectId,Lat,Long,Postal Code
852,159477,2018-02-18T20:45:00.000Z,2018-02-18T20:45:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,132,Malvern (132),146800,43.7957802,-79.2236862,M1B 1H5
93,21411,2018-02-25T23:45:00.000Z,2018-02-26T00:07:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,132,Malvern (132),19083,43.812851,-79.2302475,M1B 1V8
445,89472,2018-11-10T06:30:00.000Z,2018-11-10T07:15:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,132,Malvern (132),82625,43.7915154,-79.2378235,M1B 2W1
549,96286,2018-06-09T11:30:00.000Z,2018-06-09T11:34:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,132,Malvern (132),88859,43.8118591,-79.2112122,M1B 3Z1
464,90197,2018-10-29T21:56:00.000Z,2018-10-29T21:57:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,134,Highland Creek (134),83421,43.7921066,-79.1568756,M1C 1L4
755,93453,2018-02-18T10:40:00.000Z,2018-02-18T12:52:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,134,Highland Creek (134),86812,43.7892799,-79.1943588,M1C 5J1
320,81393,2018-03-25T19:40:00.000Z,2018-03-25T19:57:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),75296,43.7682648,-79.1967163,M1E 1X4
13,16209,2018-02-02T01:58:00.000Z,2018-02-02T01:58:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),15831,43.7676544,-79.1896133,M1E 2N5
431,87139,2018-04-01T17:30:00.000Z,2018-09-24T18:08:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),80582,43.7676544,-79.1896133,M1E 2N5
522,91914,2018-09-25T18:45:00.000Z,2018-09-25T18:45:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),85956,43.7676544,-79.1896133,M1E 2N5
772,151288,2018-07-31T14:15:00.000Z,2018-07-31T14:20:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),139782,43.7676544,-79.1896133,M1E 2N5
957,151694,2018-08-08T12:25:00.000Z,2018-08-08T12:27:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),140330,43.7676544,-79.1896133,M1E 2N5
1004,17252,2018-01-09T00:00:00.000Z,2018-02-03T20:00:00.000Z,Apartment,2120,200,B&E,Break and Enter,D43,136,West Hill (136),15168,43.7676544,-79.1896133,M1E 2N5
1089,19401,2018-02-12T00:01:00.000Z,2018-02-20T15:34:00.000Z,Apartment,2120,200,B&E,Break and Enter,D43,136,West Hill (136),17728,43.7676544,-79.1896133,M1E 2N5
1295,31670,2018-08-15T16:00:00.000Z,2018-08-15T17:46:00.000Z,Apartment,2120,200,B&E,Break and Enter,D43,136,West Hill (136),28212,43.7676544,-79.1896133,M1E 2N5
123,20813,2018-10-14T16:55:00.000Z,2018-10-14T16:55:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),19888,43.7684631,-79.1911087,M1E 2R8
833,158267,2018-01-09T07:00:00.000Z,2018-01-09T16:02:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),145347,43.7664986,-79.1948929,M1E 2S2
602,106199,2018-11-11T13:15:00.000Z,2018-11-13T13:53:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D43,136,West Hill (136),98816,43.7711601,-79.1739273,M1E 2T1
